Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773836192,50,,Aggregated,0.000000,0.000000,9,11,12,12,14,14,14,14,14,14,14,8,0,9,9.598189624966835,6.739323000147124,14.280215999860957,4521.75
1773836193,50,,Aggregated,0.000000,0.000000,10,12,12,13,16,18,18,18,18,18,18,34,0,9,10.520473647067561,5.946454000422818,18.154031999984,4490.117647058823
1773836194,50,,Aggregated,0.000000,0.000000,9,11,12,12,14,18,18,18,18,18,18,56,0,9,9.98657362497722,5.946454000422818,18.154031999984,4498.285714285715
1773836195,50,,Aggregated,0.000000,0.000000,12,17,17,20,20,20,20,20,20,20,20,5,0,12,13.557257400043454,8.407403000092017,19.59628500026156,5023.6
1773836196,50,,Aggregated,0.000000,0.000000,11,12,15,18,20,22,30,30,30,30,30,29,0,11,12.376279448321368,6.269064000207436,30.282054000053904,4842.586206896552
1773836197,50,,Aggregated,0.000000,0.000000,10,13,17,20,22,33,34,39,39,39,39,54,0,10,13.100865685205294,6.269064000207436,39.24062899977798,4495.462962962963
1773836198,50,,Aggregated,0.000000,0.000000,9,32,32,34,34,34,34,34,34,34,34,5,0,9,17.84929519999423,6.433181999909721,33.53980300016701,5032.0
1773836199,50,,Aggregated,0.000000,0.000000,9,11,12,18,30,32,34,34,34,34,34,25,0,9,12.54909631999908,5.522664999716653,33.53980300016701,4549.92
1773836200,50,,Aggregated,0.000000,0.000000,10,11,15,17,19,30,32,34,34,34,34,52,0,9,11.805324115392487,5.317137000020011,33.53980300016701,3998.673076923077
1773836201,50,,Aggregated,0.000000,0.000000,8,8,10,10,13,13,13,13,13,13,13,6,0,6.182311000429763,8.248819333402935,6.182311000429763,12.93309400034559,4248.166666666667
1773836202,50,,Aggregated,0.000000,0.000000,8,10,13,13,18,19,22,22,22,22,22,31,0,8,10.103228806494899,5.867764999948122,21.85795599962148,4664.0
1773836203,50,,Aggregated,0.000000,0.000000,9,11,13,13,18,22,23,30,30,30,30,58,0,8,10.535197827619351,5.867764999948122,30.428561000007903,4645.810344827586
1773836204,50,,Aggregated,0.000000,0.000000,34,34,34,34,34,34,34,34,34,34,34,2,0,29.268676999890886,31.556433500099956,29.268676999890886,33.84419000030903,5816.0
1773836205,50,,Aggregated,0.000000,0.000000,10,11,12,16,19,29,34,34,34,34,34,29,0,10,11.93183079311862,5.621591999897646,33.84419000030903,4575.517241379311
1773836206,50,,Aggregated,0.000000,0.000000,10,12,15,15,18,20,29,34,34,34,34,52,0,10,11.55102948075637,5.621591999897646,33.84419000030903,4653.7692307692305
1773836207,50,,Aggregated,0.000000,0.000000,8,15,15,16,16,16,16,16,16,16,16,5,0,8,10.424009800044587,6.420469000204321,15.707308000401099,4995.6
1773836208,50,,Aggregated,0.000000,0.000000,9,13,16,17,19,21,22,22,22,22,22,37,0,9,11.523358486519518,5.4051009997238,21.895354999742267,4407.7027027027025
1773836209,50,,Aggregated,0.000000,0.000000,10,12,16,17,19,22,24,24,24,24,24,53,0,10,11.74582369813439,5.4051009997238,24.125378000007913,4437.905660377359
1773836210,50,,Aggregated,0.000000,0.000000,13,13,16,16,16,16,16,16,16,16,16,4,0,10,11.664807499982999,7.775858000059088,15.506164000271383,4564.0
1773836211,50,,Aggregated,0.000000,0.000000,14,19,23,23,26,27,32,32,32,32,32,23,0,14,15.856791826022148,6.851520000054734,31.692576999830635,4750.739130434783
1773836212,50,,Aggregated,0.000000,0.000000,14,19,23,24,27,32,33,37,37,37,37,53,0,14,16.243728188603097,6.207067000104871,36.64028100001815,4681.679245283019
1773836213,50,,Aggregated,0.000000,0.000000,19,20,20,20,38,38,38,38,38,38,38,7,0,19,20.7258555714621,14.692582000407128,37.70256099960534,3569.285714285714
1773836214,50,,Aggregated,0.000000,0.000000,16,20,22,27,35,38,44,44,44,44,44,29,0,16,17.567090275923842,6.286218000241206,43.80982500015307,4319.586206896552
1773836215,50,,Aggregated,0.000000,0.000000,12,17,19,22,31,38,38,44,44,44,44,57,0,12,15.673004298270442,6.286218000241206,43.80982500015307,4496.2807017543855
1773836216,50,,Aggregated,0.000000,0.000000,9,9,10,10,11,11,11,11,11,11,11,6,0,8,8.779891333309328,7.086691000040446,11.048775999825011,4028.3333333333335
1773836217,50,,Aggregated,0.000000,0.000000,9,12,14,14,23,27,29,29,29,29,29,31,0,9,11.594194516126135,5.73738000002777,28.672586000084266,4250.806451612903
1773836218,50,,Aggregated,0.000000,0.000000,9,11,14,14,21,27,27,29,29,29,29,56,0,9,11.230608535722045,5.503891999978805,28.672586000084266,4275.785714285715
1773836219,50,,Aggregated,0.000000,0.000000,11,11,13,13,22,22,22,22,22,22,22,7,0,11,11.29187114299514,6.561184000020148,21.579768000265176,4458.428571428572
1773836220,50,,Aggregated,0.000000,0.000000,8,10,13,14,21,22,23,23,23,23,23,27,0,8,11.057830777796577,6.561184000020148,22.54452900024262,4137.074074074074
1773836221,50,,Aggregated,0.000000,0.000000,9,11,13,14,21,22,22,23,23,23,23,52,0,9,11.010671749991511,5.459969000185083,22.54452900024262,4226.903846153846
1773836222,50,,Aggregated,0.000000,0.000000,8,8,15,15,15,15,15,15,15,15,15,4,0,8,9.822475499959182,7.753310999760288,15.461586999663268,4564.0
1773836223,50,,Aggregated,0.000000,0.000000,8,8,9,9,9,14,15,15,15,15,15,31,0,8,8.205129258018836,5.530908000309864,15.461586999663268,4778.258064516129
1773836224,50,,Aggregated,0.000000,0.000000,8,9,9,9,13,14,15,16,16,16,16,55,0,8,8.879548490900065,5.530908000309864,15.975643000274431,4647.090909090909
1773836225,50,,Aggregated,0.000000,0.000000,9,9,10,10,10,10,10,10,10,10,10,4,0,8,8.567944750097922,7.205685999906564,9.505805000117107,4521.75
1773836226,50,,Aggregated,0.000000,0.000000,9,10,10,11,12,12,16,16,16,16,16,34,0,9,9.284776264715166,6.314334999842686,16.3259939999989,4611.470588235294
1773836227,50,,Aggregated,0.000000,0.000000,9,9,10,11,12,14,14,16,16,16,16,54,0,9,9.208487166663165,6.0492009997688,16.3259939999989,4480.148148148148
1773836228,50,,Aggregated,0.000000,0.000000,9,17,19,19,20,20,20,20,20,20,20,8,0,8,11.862339000060729,7.3071269998763455,19.772738000028767,4942.375
1773836229,50,,Aggregated,0.000000,0.000000,8,10,12,12,17,19,20,20,20,20,20,29,0,8,9.882030068967714,5.755914000019402,19.772738000028767,4540.241379310345
